score_etoiles,score_dc,titre,entreprise,metier_norm,secteur_norm,niveau_norm,lieu,contrat,date_pub,date_limite,salaire,source,url,niveau_source,secteur_source,first_seen,last_seen,statut,raison_archive
★★☆☆☆,2,French Customer Support Specialist (Bilingual FR/EN | Non-Voice/Blended | Remote),TalentPop App,Relation Client & Support,Relation Client & BPO,Junior,"Abidjan, Abidjan, Côte d'Ivoire",Full-time,2026-06-17,,,LinkedIn,https://ci.linkedin.com/jobs/view/french-customer-support-specialist-bilingual-fr-en-non-voice-blended-remote-at-talentpop-app-4427320085?position=5&pageNum=20&refId=n%2FPpngtq3oBRJvrVZN05TQ%3D%3D&trackingId=HXknnwwd18JIjg6wJROUJw%3D%3D,Entry level,IT Services and IT Consulting,2026-06-19,2026-06-19,archive,retirée de la source
★★☆☆☆,2,French Customer Support Specialist (Bilingual FR/EN | Non-Voice/Blended | Remote),TalentPop App,Relation Client & Support,Relation Client & BPO,Junior,"Yamoussoukro, Yamoussoukro, Côte d'Ivoire",Full-time,2026-06-02,,,LinkedIn,https://ci.linkedin.com/jobs/view/french-customer-support-specialist-bilingual-fr-en-non-voice-blended-remote-at-talentpop-app-4419229583?position=8&pageNum=22&refId=LnEYYo%2F3wGaKw6fbKauIhg%3D%3D&trackingId=c2hFlwHdF85I6QcvawE3ZA%3D%3D,Entry level,IT Services and IT Consulting,2026-06-19,2026-06-19,archive,retirée de la source
★★☆☆☆,2,French Bilingual Customer Service Specialist,TalentPop App,Relation Client & Support,Relation Client & BPO,Junior,Côte d'Ivoire,Full-time,2026-06-17,,,LinkedIn,https://ci.linkedin.com/jobs/view/french-bilingual-customer-service-specialist-at-talentpop-app-4426886684?position=6&pageNum=27&refId=TUsyHI%2FdVFcfCKvuWM0iqg%3D%3D&trackingId=AXjEqnaZmoPdO4zOyNDY9Q%3D%3D,Entry level,IT Services and IT Consulting,2026-06-19,2026-06-19,archive,retirée de la source
★★☆☆☆,2,French Bilingual Customer Service Specialist,TalentPop App,Relation Client & Support,Relation Client & BPO,Junior,"Bouaké, Vallée du Bandama, Côte d'Ivoire",Full-time,2026-06-17,,,LinkedIn,https://ci.linkedin.com/jobs/view/french-bilingual-customer-service-specialist-at-talentpop-app-4426889597?position=5&pageNum=30&refId=OGrOQN52F5Hg8qhsquaUlg%3D%3D&trackingId=W0CG3gmtKy02oejlQkiFfw%3D%3D,Entry level,IT Services and IT Consulting,2026-06-19,2026-06-19,archive,retirée de la source
★★☆☆☆,2,French Bilingual Customer Service Specialist,TalentPop App,Relation Client & Support,Relation Client & BPO,Junior,"Yamoussoukro, Yamoussoukro, Côte d'Ivoire",Full-time,2026-06-17,,,LinkedIn,https://ci.linkedin.com/jobs/view/french-bilingual-customer-service-specialist-at-talentpop-app-4426885736?position=2&pageNum=30&refId=OGrOQN52F5Hg8qhsquaUlg%3D%3D&trackingId=2ZNExstGrmw65yR9Z9zLdg%3D%3D,Entry level,IT Services and IT Consulting,2026-06-19,2026-06-19,archive,retirée de la source
★★★★☆,4,French Bilingual B2B Sales Executive,BruntWork,Commercial & Vente,Commerce & Vente,Manager/Direction,Côte d'Ivoire,Contract,2026-06-15,,,LinkedIn,https://ci.linkedin.com/jobs/view/french-bilingual-b2b-sales-executive-at-bruntwork-4425798876?position=1&pageNum=40&refId=0t%2BarYszU%2B01E9QqcYkAiA%3D%3D&trackingId=8JjGNfUlgQy08JQ%2FhNiQkQ%3D%3D,Associate,Research Services,2026-06-19,2026-06-19,archive,retirée de la source
★★☆☆☆,2,Francophone Customer Support Representative – Remote,TalentPop App,Relation Client & Support,Relation Client & BPO,Junior,"Yamoussoukro, Yamoussoukro, Côte d'Ivoire",Full-time,2026-06-01,,,LinkedIn,https://ci.linkedin.com/jobs/view/francophone-customer-support-representative-%E2%80%93-remote-at-talentpop-app-4418740997?position=6&pageNum=17&refId=rtIUrBwJuVDuxSBp%2BhviOA%3D%3D&trackingId=DHaWbBw7MyV8nzPgKr7jZQ%3D%3D,Entry level,IT Services and IT Consulting,2026-06-19,2026-06-19,archive,retirée de la source
★★★☆☆,3,Flying Implementer - DEI,ReliefWeb,Autres métiers,Autres / Généraliste,Confirmé,Côte d'Ivoire,Full-time,2026-06-19,,,LinkedIn,https://ci.linkedin.com/jobs/view/flying-implementer-dei-at-reliefweb-4431103072?position=9&pageNum=10&refId=IUk2GoMCUGDaXVLEYtfYBQ%3D%3D&trackingId=1nJ6ca1cpLGlGGJJnfIOTw%3D%3D,Not Applicable,International Affairs,2026-06-19,2026-06-19,archive,retirée de la source
★★★★☆,4,Fleet Director,GSM - Green SM,Direction & Management,Logistique & Achats,Manager/Direction,"Abidjan, Côte d'Ivoire",Full-time,2026-06-11,,,LinkedIn,https://ci.linkedin.com/jobs/view/fleet-director-at-gsm-green-sm-4423618502?position=10&pageNum=22&refId=LnEYYo%2F3wGaKw6fbKauIhg%3D%3D&trackingId=%2FG6wSQDq7VCbH1nsgex0Xw%3D%3D,Director,"Transportation, Logistics, Supply Chain and Storage",2026-06-19,2026-06-19,archive,retirée de la source
★★★★☆,4,Field HSE Specialist (HSE assurance power plant),Aggreko,Banque & Assurance,Finance & Banque,Confirmé,Côte d'Ivoire,Full-time,2026-06-17,,,LinkedIn,https://ci.linkedin.com/jobs/view/field-hse-specialist-hse-assurance-power-plant-at-aggreko-4419519485?position=4&pageNum=32&refId=J6TsznqCmobEXGRZX8e0rg%3D%3D&trackingId=x1z9FX1zAiVpQJy1tWYCuw%3D%3D,Not Applicable,Utilities,2026-06-19,2026-06-19,archive,retirée de la source
★★★★☆,4,Emergency Response Supervisor,Endeavour Mining,Opérations & Supervision,Autres / Généraliste,Senior,"Tanda, Zanzan, Côte d'Ivoire",Contract,2026-06-08,,,LinkedIn,https://ci.linkedin.com/jobs/view/emergency-response-supervisor-at-endeavour-mining-4421962568?position=10&pageNum=15&refId=ugxnK3paDB%2Fto1KW%2F3k4RQ%3D%3D&trackingId=tNWatvCR1t0EdqZuxrUteQ%3D%3D,Mid-Senior level,"Mining and Oil, Gas, and Mining",2026-06-19,2026-06-19,archive,retirée de la source
