score_etoiles,score_dc,titre,entreprise,metier_norm,secteur_norm,niveau_norm,lieu,contrat,date_pub,date_limite,salaire,source,url,niveau_source,secteur_source,first_seen,last_seen,statut,raison_archive
★★★★☆,4,ASSISTANTE ADMINISTRATIVE ET COMPTABLE,,Comptabilité,Finance & Banque,Confirmé,Côte d'Ivoire,,19/06/2026,29/07/2026,,Educarriere,https://emploi.educarriere.ci/offre-151396-assistante-administrative-et-comptable.html,,,2026-06-19,2026-06-22,active,
★★★★☆,4,Collaborateur Comptable -  H/F_ COTE D'IVOIRE,L3M HOLDING,Comptabilité,Finance & Banque,Confirmé,"Yamoussoukro, Yamoussoukro, Côte d'Ivoire",Full-time,2026-06-26,,,LinkedIn,https://ci.linkedin.com/jobs/view/collaborateur-comptable-h-f-cote-d-ivoire-at-l3m-holding-4433276682?position=48&pageNum=0&refId=jATfuyOESXXP2gGeWNrngg%3D%3D&trackingId=cOruB3j30bMS4o1kjeJMmA%3D%3D,Not Applicable,Business Consulting and Services,2026-06-29,2026-07-20,active,
★★★★☆,4,Conseiller.ère Coopération économique et promotion du secteur privé (Accès des MPME aux financements)_ Bande 4,Giz Côte d'Ivoire,Finance & Contrôle de gestion,Finance & Banque,Confirmé,"Abidjan, Côte d'ivoire",,06 Juillet,,,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136761-conseiller-ere-cooperation-economique-et-promotion-du-secteur-prive-acces-des-mpme-aux-financements-bande-4,Confirmé / Expérimenté ( 6 à 10 ans ),,2026-07-18,2026-07-20,active,
★★★★☆,4,Contrôleur Qualité,YESHI GROUP,Finance & Contrôle de gestion,Finance & Banque,Confirmé,Côte d'ivoire,,14 Juillet,,,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136767-controleur-qualite,Confirmé / Expérimenté ( 3 à 5 ans ),,2026-07-18,2026-07-20,active,
★★★★☆,4,AIDE-Technicien(ne)  en laboratoire d’analyses médicales H/F – PLATEAU TECHNIQUE B.P.R. – Secteur Pannes (45),MLAB LA SCALA,Ingénierie & Technique,Ingénierie & Industrie,Confirmé,"Le Plateau, Abidjan, Côte d'Ivoire",Full-time,2026-06-25,,,LinkedIn,https://ci.linkedin.com/jobs/view/aide-technicien-ne-en-laboratoire-d%E2%80%99analyses-m%C3%A9dicales-h-f-%E2%80%93-plateau-technique-b-p-r-%E2%80%93-secteur-pannes-45-at-mlab-la-scala-4433518392?position=33&pageNum=0&refId=jATfuyOESXXP2gGeWNrngg%3D%3D&trackingId=5CSd9R%2FUJM7l%2BzX0JKofOA%3D%3D,Not Applicable,Medical Practices,2026-06-29,2026-07-20,active,
★★★★☆,4,Agent Quality Officer,Wave Gambia,"Qualité, Hygiène & Sécurité",Ingénierie & Industrie,Confirmé,"Abidjan, Côte d'Ivoire",Full-time,2026-06-28,,,LinkedIn,https://ci.linkedin.com/jobs/view/agent-quality-officer-at-wave-gambia-4433601331?position=8&pageNum=2&refId=tCI9Cgslsl%2FgqXUgSgWAGA%3D%3D&trackingId=5Q001r%2FC%2Bn8tH4BR6adgEQ%3D%3D,Not Applicable,Financial Services,2026-07-18,2026-07-20,active,
★★★★☆,4,EOI - HSE Advisors - Ivory Coast,Lycopodium,"Conseil, Expertise & Stratégie",Ingénierie & Industrie,Confirmé,"Abidjan, Côte d'Ivoire",Full-time,2026-07-14,,,LinkedIn,https://ci.linkedin.com/jobs/view/eoi-hse-advisors-ivory-coast-at-lycopodium-4439871099?position=9&pageNum=2&refId=tCI9Cgslsl%2FgqXUgSgWAGA%3D%3D&trackingId=VQSgwg0LuMHvD%2B%2Fi6amPOA%3D%3D,Not Applicable,Professional Services,2026-07-20,2026-07-20,active,
★★★★☆,4,Ingénieur des mines - Planification minière (m/f) (FR),Mota-Engil,Ingénierie & Technique,Ingénierie & Industrie,Confirmé,"PALM CI Village V2, Gôh-Djiboua, Côte d'Ivoire",Full-time,2026-07-10,,,LinkedIn,https://ci.linkedin.com/jobs/view/ing%C3%A9nieur-des-mines-planification-mini%C3%A8re-m-f-fr-at-mota-engil-4435977088?position=59&pageNum=0&refId=jATfuyOESXXP2gGeWNrngg%3D%3D&trackingId=pKQDHGnOVtwdXbq2Do61ZA%3D%3D,Not Applicable,Construction,2026-07-18,2026-07-20,active,
★★★★☆,4,Maintenance Planner,Barry Callebaut Group,Maintenance,Ingénierie & Industrie,Confirmé,"San Pedro, Bas-Sassandra, Côte d'Ivoire",Full-time,2026-07-09,,,LinkedIn,https://ci.linkedin.com/jobs/view/maintenance-planner-at-barry-callebaut-group-4437925348?position=3&pageNum=2&refId=tCI9Cgslsl%2FgqXUgSgWAGA%3D%3D&trackingId=%2FdTBQtaWHJAGTrP1YPOFtA%3D%3D,Not Applicable,Food and Beverage Services and Food and Beverage Manufacturing,2026-07-18,2026-07-20,active,
★★★★☆,4,Material Requirement Planning Controller,Saipem,Autres métiers,Ingénierie & Industrie,Confirmé,"Abidjan, Abidjan, Côte d'Ivoire",Full-time,2026-07-06,,,LinkedIn,https://ci.linkedin.com/jobs/view/material-requirement-planning-controller-at-saipem-4437403660?position=10&pageNum=2&refId=tCI9Cgslsl%2FgqXUgSgWAGA%3D%3D&trackingId=KPFKvTw6WscLvEyp4iR%2FJQ%3D%3D,Not Applicable,Engineering Services,2026-07-20,2026-07-20,active,
