score_etoiles,score_dc,titre,entreprise,secteur_norm,niveau_norm,lieu,contrat,date_pub,date_limite,salaire,niveau_source,secteur_source,source,url,date_collecte
★★★☆☆,3,CHARGE D’AFFAIRES MID H/F,BOA CI,Commerce & Vente,Confirmé,"Abidjan, Côte d'ivoire",,12 Juin,,,Confirmé / Expérimenté ( 3 à 5 ans ),,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136723-charge-d-affaires-mid-h-f,2026-06-19
★★★☆☆,3,COMMERCIAL,,Commerce & Vente,Confirmé,Côte d'Ivoire,,19/06/2026,30/06/2026,,,,Educarriere,https://emploi.educarriere.ci/offre-151399-commercial.html,2026-06-19
★★★☆☆,3,COMMERCIAL BTP H/F,,Commerce & Vente,Confirmé,Côte d'Ivoire,,19/06/2026,27/07/2026,,,,Educarriere,https://emploi.educarriere.ci/offre-151401-commercial-btp-h-f.html,2026-06-19
★★★☆☆,3,COMMERCIAL(E) B2C GROUPES - Formations e...,,Commerce & Vente,Confirmé,Côte d'Ivoire,,19/06/2026,29/06/2026,,,,Educarriere,https://emploi.educarriere.ci/offre-151393-commerciale-b2c-groupes-formations-en-petits-groupes.html,2026-06-19
★★★☆☆,3,COMMERCIAL/CHARGEE DE CLIENTELE,,Commerce & Vente,Confirmé,Côte d'Ivoire,,19/06/2026,02/07/2026,,,,Educarriere,https://emploi.educarriere.ci/offre-151404-commercial-chargee-de-clientele.html,2026-06-19
★★★☆☆,3,Commercial(e) B2B – Formation Entrepri...,,Commerce & Vente,Confirmé,Côte d'Ivoire,,19/06/2026,29/06/2026,,,,Educarriere,https://emploi.educarriere.ci/offre-151392-commerciale-b2b-formation-entreprises-h-f.html,2026-06-19
★★★☆☆,3,DERMO-CONSEILLÈRE,SEQUOIA STORE,Commerce & Vente,Confirmé,Côte d'ivoire,,13 Avril,,,Confirmé / Expérimenté ( 1 à 2 ans ),,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136666-dermo-conseillere,2026-06-19
★★★☆☆,3,Partenaires affiliés H/F,Melbet Côte d'ivoire,Commerce & Vente,Confirmé,Côte d'ivoire,,07 Mai,,,Confirmé / Expérimenté ( 3 à 5 ans ),,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136688-partenaires-affilies-h-f,2026-06-19
★★★☆☆,3,Technico Commercial Vehicule,,Commerce & Vente,Confirmé,Côte d'Ivoire,,,,,,Commerce/vente/Distribution,RMO Jobcenter,https://www.rmo-jobcenter.com/fr/cote-d-ivoire/offres-emploi/commerce-vente-distribution/3890-technico-commercial-vehicule.html,2026-06-19
★★★☆☆,3,Technico-Commercial (H/F),,Commerce & Vente,Confirmé,Côte d'Ivoire,,19/06/2026,13/07/2026,,,,Educarriere,https://emploi.educarriere.ci/offre-151407-technico-commercial-h-f.html,2026-06-19
